run_index,year,asocc_ssp_scenario,impact,reference_year,value,s_p,r_c
0,2019,,GWP_100,2010,0.00019495749348772995,Paper,FR
0,2020,,GWP_100,2010,0.00017990667410734494,Paper,FR
0,2021,,GWP_100,2010,0.00020252504341406076,Paper,FR
0,2022,,GWP_100,2010,0.00020024189446443566,Paper,FR
0,2023,,GWP_100,2010,0.0001894020893116454,Paper,FR
0,2024,,GWP_100,2010,0.00018195710287509823,Paper,FR
0,2025,,GWP_100,2010,0.00012986102842318844,Paper,FR
0,2026,SSP2,GWP_100,2010,0.00013716004112757215,Paper,FR
0,2027,SSP2,GWP_100,2010,0.0001341146403402625,Paper,FR
0,2028,SSP2,GWP_100,2010,0.000131040746824715,Paper,FR
0,2029,SSP2,GWP_100,2010,0.00012795140514461548,Paper,FR
0,2030,SSP2,GWP_100,2010,0.00012485796063688983,Paper,FR
0,2019,,ODP,2010,0.00019535334626638522,Paper,FR
0,2020,,ODP,2010,0.00018027196684664923,Paper,FR
0,2021,,ODP,2010,0.00020293626177632284,Paper,FR
0,2022,,ODP,2010,0.00020064847699126698,Paper,FR
0,2023,,ODP,2010,0.0001897866620818213,Paper,FR
0,2024,,ODP,2010,0.00018232655892154513,Paper,FR
0,2025,,ODP,2010,0.00013012470563826092,Paper,FR
0,2026,SSP2,ODP,2010,0.00013743853867300885,Paper,FR
0,2027,SSP2,ODP,2010,0.00013438695433080105,Paper,FR
0,2028,SSP2,ODP,2010,0.0001313068194071002,Paper,FR
0,2029,SSP2,ODP,2010,0.0001282112049520157,Paper,FR
0,2030,SSP2,ODP,2010,0.00012511147933869064,Paper,FR
0,2019,,PM,2010,0.00019574919904504054,Paper,FR
0,2020,,PM,2010,0.00018063725958595347,Paper,FR
0,2021,,PM,2010,0.00020334748013858486,Paper,FR
0,2022,,PM,2010,0.00020105505951809833,Paper,FR
0,2023,,PM,2010,0.00019017123485199724,Paper,FR
0,2024,,PM,2010,0.000182696014967992,Paper,FR
0,2025,,PM,2010,0.0001303883828533334,Paper,FR
0,2026,SSP2,PM,2010,0.00013771703621844554,Paper,FR
0,2027,SSP2,PM,2010,0.00013465926832133967,Paper,FR
0,2028,SSP2,PM,2010,0.00013157289198948541,Paper,FR
0,2029,SSP2,PM,2010,0.00012847100475941594,Paper,FR
0,2030,SSP2,PM,2010,0.0001253649980404914,Paper,FR
0,2019,,IR,2010,0.0001961450518236958,Paper,FR
0,2020,,IR,2010,0.00018100255232525773,Paper,FR
0,2021,,IR,2010,0.00020375869850084694,Paper,FR
0,2022,,IR,2010,0.0002014616420449297,Paper,FR
0,2023,,IR,2010,0.00019055580762217318,Paper,FR
0,2024,,IR,2010,0.0001830654710144389,Paper,FR
0,2025,,IR,2010,0.00013065206006840585,Paper,FR
0,2026,SSP2,IR,2010,0.00013799553376388224,Paper,FR
0,2027,SSP2,IR,2010,0.00013493158231187827,Paper,FR
0,2028,SSP2,IR,2010,0.0001318389645718706,Paper,FR
0,2029,SSP2,IR,2010,0.0001287308045668162,Paper,FR
0,2030,SSP2,IR,2010,0.00012561851674229221,Paper,FR
0,2019,,POF,2010,0.0001965409046023511,Paper,FR
0,2020,,POF,2010,0.00018136784506456196,Paper,FR
0,2021,,POF,2010,0.00020416991686310898,Paper,FR
0,2022,,POF,2010,0.00020186822457176102,Paper,FR
0,2023,,POF,2010,0.00019094038039234911,Paper,FR
0,2024,,POF,2010,0.00018343492706088583,Paper,FR
0,2025,,POF,2010,0.0001309157372834783,Paper,FR
0,2026,SSP2,POF,2010,0.00013827403130931893,Paper,FR
0,2027,SSP2,POF,2010,0.0001352038963024169,Paper,FR
0,2028,SSP2,POF,2010,0.0001321050371542558,Paper,FR
0,2029,SSP2,POF,2010,0.00012899060437421644,Paper,FR
0,2030,SSP2,POF,2010,0.00012587203544409302,Paper,FR
0,2019,,AC,2010,0.0001969367573810064,Paper,FR
0,2020,,AC,2010,0.00018173313780386622,Paper,FR
0,2021,,AC,2010,0.00020458113522537103,Paper,FR
0,2022,,AC,2010,0.00020227480709859237,Paper,FR
0,2023,,AC,2010,0.00019132495316252502,Paper,FR
0,2024,,AC,2010,0.00018380438310733273,Paper,FR
0,2025,,AC,2010,0.00013117941449855078,Paper,FR
0,2026,SSP2,AC,2010,0.00013855252885475563,Paper,FR
0,2027,SSP2,AC,2010,0.00013547621029295548,Paper,FR
0,2028,SSP2,AC,2010,0.00013237110973664102,Paper,FR
0,2029,SSP2,AC,2010,0.00012925040418161667,Paper,FR
0,2030,SSP2,AC,2010,0.0001261255541458938,Paper,FR
0,2019,,TEU,2010,0.0001973326101596617,Paper,FR
0,2020,,TEU,2010,0.00018209843054317048,Paper,FR
0,2021,,TEU,2010,0.00020499235358763308,Paper,FR
0,2022,,TEU,2010,0.00020268138962542371,Paper,FR
0,2023,,TEU,2010,0.00019170952593270096,Paper,FR
0,2024,,TEU,2010,0.00018417383915377963,Paper,FR
0,2025,,TEU,2010,0.00013144309171362324,Paper,FR
0,2026,SSP2,TEU,2010,0.00013883102640019232,Paper,FR
0,2027,SSP2,TEU,2010,0.0001357485242834941,Paper,FR
0,2028,SSP2,TEU,2010,0.00013263718231902623,Paper,FR
0,2029,SSP2,TEU,2010,0.0001295102039890169,Paper,FR
0,2030,SSP2,TEU,2010,0.0001263790728476946,Paper,FR
0,2019,,FEU,2010,0.00019772846293831695,Paper,FR
0,2020,,FEU,2010,0.00018246372328247474,Paper,FR
0,2021,,FEU,2010,0.00020540357194989516,Paper,FR
0,2022,,FEU,2010,0.00020308797215225506,Paper,FR
0,2023,,FEU,2010,0.0001920940987028769,Paper,FR
0,2024,,FEU,2010,0.00018454329520022653,Paper,FR
0,2025,,FEU,2010,0.0001317067689286957,Paper,FR
0,2026,SSP2,FEU,2010,0.00013910952394562902,Paper,FR
0,2027,SSP2,FEU,2010,0.0001360208382740327,Paper,FR
0,2028,SSP2,FEU,2010,0.00013290325490141145,Paper,FR
0,2029,SSP2,FEU,2010,0.00012977000379641712,Paper,FR
0,2030,SSP2,FEU,2010,0.00012663259154949537,Paper,FR
0,2019,,MEU,2010,0.00019812431571697225,Paper,FR
0,2020,,MEU,2010,0.00018282901602177895,Paper,FR
0,2021,,MEU,2010,0.00020581479031215718,Paper,FR
0,2022,,MEU,2010,0.00020349455467908638,Paper,FR
0,2023,,MEU,2010,0.0001924786714730528,Paper,FR
0,2024,,MEU,2010,0.0001849127512466734,Paper,FR
0,2025,,MEU,2010,0.00013197044614376814,Paper,FR
0,2026,SSP2,MEU,2010,0.00013938802149106568,Paper,FR
0,2027,SSP2,MEU,2010,0.0001362931522645713,Paper,FR
0,2028,SSP2,MEU,2010,0.00013316932748379663,Paper,FR
0,2029,SSP2,MEU,2010,0.00013002980360381734,Paper,FR
0,2030,SSP2,MEU,2010,0.00012688611025129615,Paper,FR
0,2019,,ECOTOX,2010,0.00019852016849562752,Paper,FR
